age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome
36,services,married,secondary,no,0,yes,no,cellular,30,jul,54,12,-1,0,
51,self-employed,married,primary,no,106,yes,no,telephone,18,nov,366,3,110,2,failure
34,management,single,tertiary,no,872,yes,no,cellular,17,apr,81,1,345,2,failure
33,management,single,tertiary,no,0,no,no,,27,may,277,1,-1,0,
37,self-employed,married,tertiary,no,2211,yes,no,cellular,25,may,143,1,-1,0,
34,self-employed,single,tertiary,no,1943,yes,no,cellular,16,apr,478,2,-1,0,
34,technician,married,secondary,yes,-172,no,no,cellular,22,aug,177,2,-1,0,
32,unemployed,married,primary,no,309,yes,no,telephone,13,may,185,1,370,3,failure
39,,married,primary,no,2860,no,no,,19,jun,133,1,-1,0,
32,technician,married,tertiary,no,-196,yes,no,,28,may,163,1,-1,0,
46,technician,married,secondary,no,218,no,no,cellular,10,jul,41,1,-1,0,
41,management,single,tertiary,no,3947,no,no,telephone,29,jul,63,2,-1,0,
26,services,single,secondary,no,212,yes,no,cellular,15,may,144,2,352,1,other
28,technician,single,secondary,no,6551,no,no,cellular,10,mar,97,1,-1,0,
24,technician,single,tertiary,no,10,yes,no,cellular,18,may,78,2,367,2,other
57,housemaid,married,primary,no,0,no,no,cellular,13,aug,189,2,-1,0,
45,blue-collar,married,secondary,no,66,yes,no,,5,may,808,2,-1,0,
56,management,married,tertiary,no,0,no,no,cellular,17,nov,194,1,-1,0,
48,entrepreneur,married,tertiary,no,354,yes,no,cellular,9,feb,37,4,-1,0,
31,blue-collar,married,secondary,no,1545,yes,yes,cellular,13,may,207,1,-1,0,
27,blue-collar,single,secondary,no,2,no,no,telephone,13,may,15,7,366,10,other
38,blue-collar,married,secondary,no,-390,yes,no,,5,may,287,1,-1,0,
43,blue-collar,married,secondary,yes,-7,no,no,,8,may,70,1,-1,0,
34,blue-collar,married,primary,no,2490,yes,no,,23,may,192,1,-1,0,
50,blue-collar,married,primary,no,89,yes,no,,9,may,210,3,-1,0,
32,technician,single,tertiary,no,2340,no,no,cellular,26,may,94,1,97,2,success
41,admin.,divorced,secondary,no,8,no,no,cellular,5,feb,92,1,-1,0,
54,blue-collar,married,secondary,no,143,yes,no,cellular,12,may,278,2,309,5,failure
32,blue-collar,single,secondary,no,226,yes,no,,5,jun,426,5,-1,0,
29,services,single,secondary,no,0,yes,no,cellular,11,jul,314,2,-1,0,
42,management,married,tertiary,no,603,yes,no,cellular,5,nov,298,5,-1,0,
60,retired,married,primary,no,174,yes,yes,cellular,2,feb,157,2,252,1,failure
33,blue-collar,married,primary,no,324,yes,no,cellular,13,may,217,2,-1,0,
36,management,single,tertiary,no,13315,no,no,cellular,28,jul,43,8,-1,0,
46,blue-collar,married,primary,no,7934,yes,no,,19,may,123,1,-1,0,
43,blue-collar,married,primary,no,197,yes,no,cellular,17,nov,48,2,-1,0,
28,technician,married,secondary,no,880,yes,no,,26,may,188,1,-1,0,
36,technician,married,secondary,no,494,yes,no,,9,may,83,3,-1,0,
47,blue-collar,married,primary,no,233,no,no,cellular,8,aug,293,3,-1,0,
43,technician,divorced,secondary,no,0,no,no,cellular,28,aug,192,2,-1,0,
59,retired,married,primary,no,1427,no,no,,18,jun,140,2,-1,0,
30,services,divorced,secondary,no,21,no,no,cellular,17,jul,49,1,-1,0,
49,technician,married,primary,no,230,yes,no,,8,may,96,1,-1,0,
47,management,married,tertiary,no,33,yes,yes,,20,jun,14,25,-1,0,
54,management,married,tertiary,no,0,no,no,cellular,14,aug,260,7,-1,0,
47,management,married,tertiary,no,866,no,no,,20,jun,7,7,-1,0,
31,self-employed,married,secondary,no,296,yes,yes,cellular,24,jul,171,1,-1,0,
35,admin.,single,tertiary,no,980,no,no,cellular,29,oct,68,2,-1,0,
46,management,married,tertiary,no,1446,no,no,cellular,4,may,359,1,-1,0,
47,admin.,married,secondary,no,328,no,no,cellular,13,aug,260,2,-1,0,
35,self-employed,married,secondary,no,351,yes,no,,9,may,298,2,-1,0,
31,services,single,secondary,no,2070,no,no,cellular,29,aug,319,2,-1,0,
42,self-employed,divorced,tertiary,no,360,yes,no,,24,jun,110,5,-1,0,
44,entrepreneur,divorced,tertiary,no,316,yes,no,cellular,18,nov,244,1,-1,0,
23,technician,married,secondary,no,4,yes,no,cellular,20,apr,698,1,-1,0,
33,housemaid,single,secondary,no,118,no,no,cellular,29,jan,159,1,-1,0,
54,blue-collar,married,primary,no,95,no,no,cellular,25,jul,302,1,-1,0,
39,blue-collar,single,secondary,no,885,yes,no,,29,may,70,7,-1,0,
33,admin.,single,secondary,no,2717,yes,no,cellular,18,may,185,1,-1,0,
33,services,single,secondary,no,406,yes,no,cellular,5,feb,61,1,275,1,failure
36,services,single,secondary,yes,-455,no,no,,27,may,124,1,-1,0,
38,blue-collar,married,primary,no,265,no,no,,17,jun,854,3,-1,0,
59,retired,married,secondary,no,11,no,no,cellular,20,nov,318,2,-1,0,
52,blue-collar,married,secondary,no,289,yes,no,,21,may,45,13,-1,0,
50,technician,married,secondary,no,1765,yes,no,,12,jun,247,2,-1,0,
45,management,married,primary,no,4629,no,no,telephone,2,apr,285,2,-1,0,
34,blue-collar,single,primary,no,517,no,yes,cellular,3,feb,330,2,-1,0,
60,housemaid,divorced,secondary,no,2063,no,no,cellular,21,aug,54,5,86,3,failure
31,admin.,single,tertiary,no,383,no,yes,cellular,6,feb,119,1,214,1,failure
30,self-employed,married,tertiary,no,1050,no,no,cellular,21,nov,58,2,-1,0,
39,admin.,married,secondary,no,217,yes,no,,4,jun,341,4,-1,0,
49,blue-collar,divorced,,no,39,yes,no,cellular,13,may,27,5,-1,0,
31,blue-collar,single,secondary,no,144,yes,no,cellular,17,apr,370,3,-1,0,
43,admin.,married,secondary,no,59,yes,no,cellular,15,jul,60,3,-1,0,
30,management,married,secondary,no,877,yes,yes,cellular,13,aug,92,5,-1,0,
46,management,married,,no,2296,no,no,,5,jun,67,2,-1,0,
32,blue-collar,married,secondary,no,2561,yes,no,,20,may,135,2,-1,0,
34,blue-collar,married,primary,no,-78,yes,no,,9,may,198,1,-1,0,
28,blue-collar,married,secondary,no,597,yes,no,,8,may,223,2,-1,0,
37,services,married,primary,yes,-483,yes,yes,cellular,19,nov,70,3,-1,0,
52,retired,married,secondary,no,424,no,no,,18,jun,89,3,-1,0,
31,technician,single,secondary,no,826,yes,no,cellular,12,aug,246,2,-1,0,
32,technician,single,secondary,no,145,no,no,cellular,6,aug,135,2,-1,0,
31,admin.,married,,yes,-310,yes,no,,28,may,433,3,-1,0,
50,technician,single,secondary,no,330,no,no,cellular,6,aug,376,3,-1,0,
26,blue-collar,single,secondary,no,384,yes,no,cellular,18,may,16,1,364,2,other
35,management,single,tertiary,no,0,no,yes,cellular,14,aug,370,4,-1,0,
33,housemaid,married,primary,no,0,no,no,cellular,8,aug,138,2,-1,0,
31,self-employed,married,secondary,no,731,no,yes,cellular,8,jul,188,1,-1,0,
30,management,single,tertiary,no,2,no,no,cellular,23,mar,269,1,-1,0,
31,technician,married,secondary,no,-720,yes,no,,17,jun,638,16,-1,0,
30,services,single,tertiary,no,136,yes,yes,,16,may,208,5,-1,0,
42,admin.,married,secondary,no,3279,yes,no,cellular,8,may,261,1,344,1,failure
45,management,married,tertiary,no,1447,yes,yes,cellular,7,jul,461,2,-1,0,
56,,divorced,primary,no,558,no,no,,11,jun,119,1,-1,0,
37,technician,single,secondary,no,786,yes,no,,30,may,103,2,-1,0,
43,technician,single,tertiary,no,1017,yes,no,,19,may,257,2,-1,0,
35,blue-collar,married,secondary,no,4,yes,yes,cellular,16,jul,130,6,-1,0,
57,services,divorced,secondary,no,4664,no,no,cellular,30,jul,103,1,-1,0,
53,technician,divorced,secondary,no,45,no,no,,28,may,171,6,-1,0,
35,entrepreneur,married,tertiary,no,1859,yes,no,cellular,7,apr,157,1,267,2,failure
40,housemaid,divorced,primary,no,2610,yes,no,,14,may,301,3,-1,0,
46,admin.,divorced,secondary,no,7378,no,no,cellular,18,nov,466,1,-1,0,
37,management,married,tertiary,no,293,yes,no,cellular,11,may,304,1,349,4,failure
27,unemployed,married,secondary,no,293,yes,no,,26,may,70,3,-1,0,
29,blue-collar,single,secondary,no,555,yes,no,cellular,15,may,133,4,-1,0,
48,management,single,tertiary,no,8106,no,no,,17,nov,125,1,111,3,failure
30,technician,married,secondary,no,4733,yes,no,,21,may,81,2,-1,0,
30,technician,married,secondary,no,1011,yes,no,,16,may,109,1,-1,0,
30,management,single,tertiary,no,30,no,no,cellular,21,aug,220,5,-1,0,
32,technician,single,tertiary,no,1710,yes,no,cellular,15,may,439,1,175,3,other
49,services,single,secondary,no,459,yes,no,,19,may,58,10,-1,0,
37,blue-collar,married,secondary,no,1818,yes,no,,21,may,273,1,-1,0,
29,blue-collar,single,secondary,no,391,yes,no,cellular,18,may,166,1,-1,0,
42,blue-collar,married,secondary,no,414,yes,no,cellular,17,apr,400,3,-1,0,
36,admin.,single,tertiary,no,1568,no,no,,17,jun,433,2,-1,0,
31,blue-collar,single,secondary,no,334,yes,yes,,2,jun,425,2,-1,0,
47,blue-collar,married,primary,no,3451,no,yes,cellular,21,nov,125,2,-1,0,
56,technician,divorced,,no,1939,yes,no,cellular,30,jul,121,3,-1,0,
58,retired,married,secondary,no,0,no,no,cellular,19,aug,153,2,-1,0,
28,blue-collar,single,secondary,no,455,yes,no,cellular,11,jul,166,1,-1,0,
37,self-employed,single,primary,no,235,yes,no,cellular,17,apr,191,4,323,9,failure
30,technician,single,secondary,no,1359,yes,no,,27,may,298,1,-1,0,
50,admin.,divorced,secondary,no,1332,yes,no,,16,may,95,3,-1,0,
