age,y
36,0
58,0
40,0
37,0
43,0
33,0
41,0
35,0
56,0
36,0
55,0
43,0
52,1
36,0
39,0
37,0
49,0
47,0
30,0
55,0
45,0
51,0
33,0
43,0
56,0
41,1
51,0
35,0
39,0
56,0
42,0
47,0
35,0
26,0
61,0
30,0
57,0
60,0
49,0
42,0
38,0
53,0
58,0
26,1
31,1
55,0
27,0
34,0
21,1
50,0
31,0
55,0
50,0
60,0
41,0
52,0
40,0
25,0
26,0
26,0
48,0
44,0
36,0
49,0
60,0
53,0
50,0
42,0
48,0
41,0
35,0
36,0
36,0
50,0
51,0
37,0
39,0
31,0
50,0
51,0
55,0
34,0
60,0
37,1
36,0
34,0
50,0
29,0
29,0
59,0
49,0
26,0
35,0
27,0
39,0
30,1
40,0
57,0
41,0
48,0
33,0
49,0
29,0
35,0
37,0
53,0
33,0
39,0
40,0
72,0
45,0
41,0
37,0
52,0
35,0
56,0
32,0
53,0
44,1
59,0
46,0
58,0
31,0
31,0
60,0
43,0
32,0
28,0
33,0
45,0
55,0
43,1
34,0
52,0
49,0
44,0
39,0
31,0
64,0
44,0
30,0
24,1
44,0
60,0
47,0
29,0
34,0
48,0
46,0
36,0
33,0
46,1
38,0
52,0
38,0
55,0
60,0
47,0
33,0
79,1
50,0
47,0
48,0
57,0
58,1
29,0
24,0
59,0
35,0
52,0
31,0
57,0
48,0
28,0
54,0
32,1
32,0
34,0
38,0
70,0
77,1
34,1
30,0
46,0
32,0
45,0
49,0
42,0
33,0
44,0
31,0
29,0
35,0
50,0
35,0
44,0
25,0
46,0
53,0
32,1
36,0
32,0
58,0
33,0
44,0
49,0
60,0
30,0
42,0
44,0
51,0
72,1
56,0
55,0
49,0
32,0
51,0
37,0
30,0
33,0
47,0
62,1
58,1
32,0
39,0
33,0
43,0
31,0
36,0
47,1
32,0
48,0
33,0
56,0
22,1
45,0
23,0
30,0
25,0
33,0
28,0
34,0
32,0
53,0
52,0
56,0
39,0
46,0
34,0
42,0
31,0
28,1
38,0
34,1
58,0
30,0
37,0
46,0
40,0
72,1
30,0
40,0
57,0
43,0
44,0
40,0
30,0
39,0
52,0
41,0
51,0
36,0
36,0
54,0
45,0
60,0
33,0
26,0
48,0
51,0
47,0
48,0
33,0
36,0
33,1
58,0
34,0
35,0
58,0
43,0
45,0
37,0
43,0
36,0
34,0
47,0
35,0
38,0
22,0
26,0
38,0
26,1
45,0
31,0
36,0
34,0
28,0
45,0
48,0
44,0
33,0
30,0
35,1
60,0
31,0
55,0
45,1
34,0
32,0
40,0
59,0
34,0
32,0
37,0
48,0
51,0
39,0
32,0
39,0
28,0
52,0
45,0
37,0
42,0
38,0
55,0
37,0
47,0
33,0
26,0
60,0
51,0
45,0
48,0
31,0
38,0
28,0
41,1
30,0
33,0
35,0
41,0
43,0
34,0
55,0
30,0
39,0
51,0
27,0
39,0
30,1
60,1
40,0
50,0
30,0
34,1
54,0
44,0
36,0
36,0
28,0
59,0
29,0
55,1
38,0
41,0
23,0
34,0
48,0
39,0
36,0
45,0
31,0
41,0
42,0
27,0
59,1
27,0
31,0
27,0
29,0
28,0
26,0
34,0
45,1
37,0
42,0
60,1
31,0
38,0
47,0
51,0
54,0
28,0
36,0
33,0
34,0
30,0
38,0
33,0
30,1
45,0
48,0
37,0
44,0
38,0
45,0
28,1
27,0
39,0
33,0
40,0
60,1
39,0
57,0
29,0
36,0
45,0
32,0
50,0
43,0
31,0
29,0
60,0
24,0
29,1
30,0
53,0
36,0
45,0
57,0
37,0
44,1
55,0
37,0
58,0
45,0
41,0
47,0
37,0
32,0
26,0
41,0
30,0
34,0
44,0
35,0
59,0
36,0
33,0
38,0
35,1
32,0
58,0
58,0
50,0
59,0
55,0
45,0
65,1
45,0
39,0
37,0
29,0
54,0
30,0
41,0
49,0
39,0
36,0
27,0
37,0
31,0
51,0
50,0
42,0
36,0
93,1
38,0
47,0
59,0
39,0
35,0
53,0
45,0
36,1
38,0
52,0
32,0
35,0
35,1
37,0
34,0
39,0
36,0
36,0
53,0
42,0
34,0
46,0
51,0
35,0
27,0
40,0
46,0
47,1
36,0
52,0
34,0
35,0
42,0
34,0
31,0
50,0
32,0
37,0
56,0
49,0
45,0
49,0
45,0
36,0
29,0
53,0
32,0
42,0
32,0
46,0
33,0
24,0
24,1
29,0
40,1
59,0
38,0
52,0
31,1
54,0
41,0
50,0
41,0
33,1
45,0
34,0
33,0
46,0
30,0
38,0
34,0
45,0
26,0
37,0
25,0
47,0
39,0
42,0
29,0
55,1
61,1
35,0
37,0
30,0
47,0
50,1
59,0
34,0
38,0
41,0
38,0
51,0
30,1
53,0
30,0
39,0
36,0
32,0
39,0
40,0
33,0
45,0
32,0
35,0
37,0
26,0
36,0
52,0
35,0
42,0
28,0
30,0
50,0
34,0
55,0
36,0
26,1
37,0
57,0
27,0
52,0
33,0
37,0
67,1
30,0
44,0
47,0
32,0
28,0
37,0
54,0
30,0
46,0
32,0
48,0
35,1
44,0
56,0
47,0
33,0
33,0
30,0
34,0
32,0
39,0
40,0
42,0
37,0
58,0
41,0
30,0
42,1
44,0
33,0
42,0
37,0
44,0
34,0
61,1
57,0
31,0
47,0
38,0
40,0
49,0
30,0
48,0
60,1
44,0
35,0
46,0
27,0
47,0
54,1
33,0
35,0
32,0
44,0
65,1
55,1
33,0
29,0
43,0
27,1
40,0
36,0
23,1
31,0
55,0
37,0
52,0
27,0
51,0
33,0
45,0
35,0
54,0
52,0
48,0
32,0
34,0
60,0
40,0
24,0
38,0
32,0
58,0
31,0
58,0
50,0
32,0
27,0
26,0
34,0
44,0
36,0
46,0
46,0
30,0
31,0
29,0
30,0
53,0
54,1
30,0
30,1
39,0
75,0
34,0
34,0
44,0
34,0
42,0
25,0
53,0
44,0
44,0
26,0
43,0
61,1
55,0
46,0
29,0
51,0
36,1
51,0
42,0
26,0
30,0
27,1
45,0
23,0
33,0
33,0
57,0
41,0
50,0
31,0
45,0
25,0
48,1
49,0
38,0
27,0
31,0
32,0
52,0
45,0
46,0
48,0
29,0
36,0
30,0
40,0
51,0
50,0
30,0
60,1
39,0
27,0
40,0
38,0
37,0
24,0
41,0
60,0
25,1
59,0
29,1
48,0
33,0
42,0
41,0
31,0
41,0
48,0
37,0
51,0
38,0
25,0
49,0
40,0
62,1
47,1
36,0
34,0
47,0
52,0
35,0
29,0
44,0
44,0
33,0
26,0
53,0
33,0
41,0
43,0
41,0
26,0
31,0
51,0
47,0
33,1
47,0
36,0
32,0
29,1
33,0
54,0
29,0
34,0
33,0
52,0
48,0
28,0
39,0
53,0
57,0
29,0
32,0
55,1
40,0
60,0
32,0
32,0
32,0
28,1
43,0
46,0
31,0
41,0
51,0
27,0
30,1
38,0
60,0
30,0
42,0
55,0
59,0
35,0
44,0
55,0
28,0
41,0
50,0
40,0
31,0
23,0
43,0
57,0
37,1
41,0
40,0
44,0
31,0
41,0
33,0
31,0
54,0
40,0
53,0
26,0
53,0
31,0
42,0
27,0
59,0
53,0
27,0
30,0
49,1
34,0
30,0
49,0
35,0
39,0
30,0
44,0
46,0
35,0
41,0
57,0
53,0
45,0
53,0
35,0
59,0
40,0
53,0
54,0
32,0
31,0
34,0
30,0
35,0
54,1
30,0
50,0
39,0
62,0
36,0
51,0
26,1
29,0
40,0
73,0
46,0
36,0
59,0
38,0
40,0
27,0
35,0
56,0
40,0
48,0
44,0
36,1
33,0
53,0
41,0
40,0
58,0
32,0
52,0
39,0
55,0
51,0
57,0
34,0
50,0
35,0
38,0
49,0
29,0
42,0
49,0
31,0
29,0
31,0
41,0
26,0
29,0
44,0
59,0
37,0
30,0
33,0
48,1
38,0
27,1
58,1
28,0
26,0
32,0
47,0
34,0
38,0
48,0
32,0
49,1
53,0
53,0
56,0
55,0
34,0
56,0
49,0
24,0
31,0
43,0
40,0
58,0
31,0
29,0
28,1
27,0
53,0
48,0
47,0
27,0
38,0
77,1
36,0
36,0
43,1
40,0
33,0
45,0
33,0
30,0
30,0
44,0
44,0
53,0
35,0
29,1
40,0
31,1
42,0
34,0
32,0
43,1
52,1
40,1
32,0
44,0
